DAYALAN_HEMALATHA,ODI,Batting First,2018–2024,9,97,35,12.12,0,4,02-Jun,35.75,0,0,0,-23.62,,,,
DAYALAN_HEMALATHA,ODI,Fielding First,2018–2019,3,-,-,-,-,1,Jan-19,46,0,3,0,-,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
DAYALAN_HEMALATHA,T20,Batting First,2018–2024,14,166,47,15.09,0,7,Mar-15,9.85,0,1,0,5.23,,,,
DAYALAN_HEMALATHA,T20,Fielding First,2018–2024,9,110,41*,18.33,0,2,Feb-34,31.5,0,1,0,-13.16,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
GUNALAN_KAMALINI,T20,Batting First,2025–2025,1,12,12,12,0,0,0,,,,,,,,,
GUNALAN_KAMALINI,T20,Fielding First,-,0,-,-,-,-,-,-,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
HARLEEN_DEOL,ODI,Batting First,2019–2025,23,750,115,34.09,1,1,01-Jul,32,0,8,0,2.09,,,,
HARLEEN_DEOL,ODI,Fielding First,2022–2026,15,314,77,28.54,0,1,Jan-25,49,0,6,0,-20.45,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
HARLEEN_DEOL,T20,Batting First,2019–2025,17,242,52,18.61,0,3,Jan-13,32,0,5,0,-13.38,,,,
HARLEEN_DEOL,T20,Fielding First,2019–2023,11,69,24,13.8,0,3,Feb-13,14.66,0,3,0,-0.86,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
MINNU_MANI,ODI,Batting First,2025–2025,1,-,-,-,-,1,Jan-22,22,0,1,0,-,,,,
MINNU_MANI,ODI,Fielding First,2024–2024,2,54,46*,54,0,2,Feb-71,53.5,0,1,0,0.5,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
MINNU_MANI,T20,Batting First,2023–2023,3,6,5*,6,0,4,02-Sep,9.25,0,0,0,-3.25,,,,
MINNU_MANI,T20,Fielding First,2023–2023,1,-,-,-,-,1,Jan-21,21,0,0,0,-,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
PRIYA_MISHRA,ODI,Batting First,2024–2025,4,1,1*,1,0,9,Mar-49,15,0,0,0,-14,,,,
