playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
meghna_singh,odi,bowling,vs ENG Women,2022-2022,2,2,15.2,3,68,4,Mar-26,17,4.43,23,0,0,
meghna_singh,odi,bowling,vs NZ Women,2022-2022,3,3,17,0,116,2,Jan-22,58,6.82,51,0,0,
meghna_singh,odi,bowling,vs PAK Women,2022-2022,1,1,7,3,21,1,Jan-21,21,3,42,0,0,
meghna_singh,odi,bowling,vs SA Women,2022-2022,1,1,6,0,37,0,,,,6.16,,0,0
meghna_singh,odi,bowling,vs SL Women,2022-2022,3,3,25,0,98,4,Feb-32,24.5,3.92,37.5,0,0,
meghna_singh,odi,bowling,vs WI Women,2022-2022,1,1,6,0,27,2,Feb-27,13.5,4.5,18,0,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
pratika_rawal,odi,vs AUS Women,2025-2026,7,7,0,253,75,36.14,340,74.41,0,3,1,34,1,
pratika_rawal,odi,vs BAN Women,2025-2025,1,,,,,,,,,,,,,
pratika_rawal,odi,vs ENG Women,2025-2025,4,4,0,71,36,17.75,108,65.74,0,0,0,6,0,
pratika_rawal,odi,vs IRE Women,2025-2025,3,3,0,310,154,103.33,286,108.39,1,2,0,38,3,
pratika_rawal,odi,vs NZ Women,2025-2025,1,1,0,122,122,122,134,91.04,1,0,0,13,2,
pratika_rawal,odi,vs PAK Women,2025-2025,1,1,0,31,31,31,37,83.78,0,0,0,5,0,
pratika_rawal,odi,vs SA Women,2025-2025,3,3,0,116,78,38.66,152,76.31,0,1,0,12,1,
pratika_rawal,odi,vs SL Women,2025-2025,4,4,1,152,50*,50.66,209,72.72,0,1,0,15,2,
pratika_rawal,odi,vs WI Women,2024-2024,3,3,0,134,76,44.66,178,75.28,0,1,0,18,1,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
kranti_gaud,odi,vs AUS Women,,7,5,1,32,19,8,47,68.08,0,0,0,3,0,
kranti_gaud,odi,vs ENG Women,,4,1,1,4,4*,,9,44.44,0,0,0,0,0,
kranti_gaud,odi,vs NZ Women,,1,,,,,,,,,,,,,
kranti_gaud,odi,vs PAK Women,,1,1,0,8,8,8,4,200,0,0,0,2,0,
kranti_gaud,odi,vs SA Women,,2,1,1,0,0*,,1,0,0,0,0,0,0,
kranti_gaud,odi,vs SL Women,,2,1,1,0,0*,,1,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
sayali_satghare,odi,vs IRE Women,,3,1,1,2,2*,,3,66.66,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
renuka_singh,odi,vs AUS Women,2023-2026,11,9,6,19,8*,6.33,40,47.5,0,0,1,2,0,
renuka_singh,odi,vs BAN Women,2025-2025,1,,,,,,,,,,,,,
renuka_singh,odi,vs ENG Women,2022-2025,3,1,0,0,0,0,3,0,0,0,1,0,0,
renuka_singh,odi,vs NZ Women,2022-2025,5,3,1,0,0*,0,7,0,0,0,2,0,0,
renuka_singh,odi,vs PAK Women,2025-2025,1,1,0,0,0,0,1,0,0,0,1,0,0,
renuka_singh,odi,vs SA Women,2024-2025,2,,,,,,,,,,,,,
renuka_singh,odi,vs SL Women,2022-2022,3,1,0,2,2,2,3,66.66,0,0,0,0,0,
renuka_singh,odi,vs WI Women,2024-2024,3,1,0,0,0,0,2,0,0,0,1,0,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
shreyanka_patil,odi,vs AUS Women,2023-2024,2,2,1,7,5*,7,12,58.33,0,0,0,1,0,
shreyanka_patil,odi,vs SA Women,2024-2024,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,100s,50s,0s,,,,,
